quote,entry,rating
Birthday visit,"Both the food and the service was amazing! 
Delicious fresh dishes. Also a lovely atmosphere.
Highly recommend 😊More",5
Best service!,"Food was delicious , presentation was immaculate & service was incredible. Will definitely be back again!More",5
Mitra,"Mitra was an extremely attentive server and genuinely appreciated our custom.
She is a consummate professional and an assured ambassador for this wonderful restaurant.
My business partner and I look forward to coming back here again.
She is so gracious we have invited Mitra to...More",5
Delicious dinner,Definitely the most expensive Indian I’ve ever had but absolutely delicious and the presentation of the food was wonderful. The service was impeccable and I will definitely return!More,5
My favourite restaurant in london,"The best restaurant in london, my favourite 
Great food great service great environment. 
Definitely recommend.More",5
Monday night visit,"The food was absolutely delicious and our server was lovely, great quality food. Thank you!!!!! All of the food was delightfulMore",5
Dr,"Perfect food, lovely hospitality, friendly environment, overall very good. Highly recommended to everyoneMore",5
Nice treat,"Always an enjoyable experience at Bayleaf... on the pricey side but good food, nice ambiance and top service!",4
Great food great people,"The food was great, service exceptional, great people. Would recommend it to anyone who likes Indian cuisine.More",5
Never fails,Been before will come again pandemic spacing makes it even more relaxed.bfood delicious serve good. Recommended.More,5
Excellent service and food,"We were lucky to get a cancellation on a Saturday evening and as time was short, we only had main dishes.  Service was excellent, food was of a very high quality and very enjoyable.  We plan to book a table to enable us to enjoy...More",5
Fab meal at Bayleaf,"Always  such a beautiful time (and meal) at Bayleaf, such wonderful staff, and food 
Mitra and Bud were so good to us as per 
You cannot beat the BayleafMore",5
Great Experience,"Visited for lunch for my fiancé's birthday. It was surprisingly quiet but the food was great and the lady who served us provided excellent service and even brought out a lovely surprise cheesecake for us. 
All the food we has was of high quality and...More",5
Birthday meal,Had a great time at Bay leaf! The staff were so so friendly and attentive! Will definitely come back!More,5
Amazing,Had a wonderful meal with amazing service.  Food was well presented and so tasty.  Flavours were very sophisticated and so much more than a normal Indian restaurant.More,5
Date night,Amazing food and service. I actually feel very lucky to have found this place ! Right in the middle of whetstone.More,5
The friendliest staff and the best food,"The staff in this restaurant are so friendly and helpful, big thank you to Mitra who went above and beyond to make our evening.  And the food is to die for!!!More",5
Great local Indian. A must try,"Really good. Friend recommended as I wanted Indian and was amazing. Good service, good presented by chef. Uncomplicated Indian but yet still exceptionalMore",5
Brilliant Indian in N London,Every dish equally unusual and delicious. Old classics plus new innovations. We will certainly be back again soon!More,5
Lovely evening,Came for dinner for our anniversary and had a wonderful evening. Delicious food (for both me a vegetarian and my meat eating husband) and really attentive service. We’ll be back soon!More,5
One of our happy places 😀,"Such an amazing restaurant. Excellent menu selection, great food, presentation and wonderfully friendly staff. So happy that they are coming through the pandemic, with new interior decor and having maintained all the quality that we have come to expect.More",5
Excellent service,Food was delicious and received excellent and personable service from the staff. Would personally like to thank Mitra for her attentive service and helping make my partners birthday that little bit more special.More,5
Miss N Henshaw,"Excellent food and service🤗👏👏👏 as always.
Very fresh, and oil free food. We are always looked after and very good attention to detail.
Thanks
NikkiMore",5
Wonderful food and wonderful,"Wonderful food and wonderful service
Thank you for your amazing hospitality 
Oh my bay leaf is deliciousMore",5
Family reunion excellent,"Friendly staff, great service. Some spectacular dishes (the scallops were amazing)! Highly recommend.More",5
Friday night dinner,Highly recommend. Food delicious and plenty of choice. Service excellent and friendly. Will definitely visit again.More,5
"Amazing quality, and so delicious","Delicious food as ever! Beautifully presented, piping hot, excellent quality. Excited to be back to this local high street gem!More",5
Delicious!,"We’ve ordered takeaway from here so many times in lockdown but never made it to eat in, until last night.

Hand sanitiser, temperature check and NHS track and trace on arrival. I think it’s great they are doing everything they can to keep people safe....More",5
Great food and wonderful service,It was such a wonderful experience. The food is a little pricey but the service is 100% worth it. I had a great time at Bayleaf and would love to go again.More,5
